experiment_id,scenario_id,scenario_label,strategy_id,strategy_label,strategy_group,replication_strategy,capacity_per_rank_per_layer,average_replicas_per_expert,initial_replication_us,migration_network_us,cold_start_storage_us,all2allv_us,total_steady_state_us,total_including_initialization_us,initial_replication_bytes,network_repair_bytes,all2allv_bytes,cold_start_bytes,speedup_vs_control_steady,speedup_vs_control_total_including_init,steady_state_delta_vs_control_us,cold_start_bytes_avoided_vs_control,ft_tax_steady_ratio,ft_tax_total_including_init_ratio,steps,warnings
armageddon_two_node_high_band__adaptive_mro_avg3,armageddon_two_node_high_band,Armageddon two-node high-band,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,2908162.621440,183207198.720000,11994.589867,186127355.931307,188843741.715184,2153691217920.000000,587118673920.000000,1748561920.000000,572522496000.000000,0.664617,0.655057,62423901.352574,-185975439360.000000,15526.711088,69.214773,836,
armageddon_two_node_high_band__adaptive_mro_avg4,armageddon_two_node_high_band,Armageddon two-node high-band,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,5284602.235411,176362094.592000,1175.843943,181647872.671355,185136735.286593,2892811468800.000000,995056680960.000000,1552261120.000000,551131545600.000000,0.681007,0.668173,57944418.092622,-164584488960.000000,147883.056072,53.046393,820,
armageddon_two_node_high_band__adaptive_mro_avg6,armageddon_two_node_high_band,Armageddon two-node high-band,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,6928632.458541,146324167.065600,829.720975,153253629.245116,158624016.086716,4352429260800.000000,1722852311040.000000,1534279680.000000,457263022080.000000,0.807181,0.779853,29550174.666383,-70715965440.000000,178908.350359,29.532085,903,
armageddon_two_node_high_band__adaptive_mro_avg8,armageddon_two_node_high_band,Armageddon two-node high-band,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,9022900.874541,127963181.875200,826.686578,136986909.436319,144199434.594719,5798205849600.000000,2421958901760.000000,1527490560.000000,399884943360.000000,0.903031,0.857864,13283454.857586,-13337886720.000000,171463.474057,19.990705,969,
armageddon_one_node_low_holdout__control_single_owner,armageddon_one_node_low_holdout,Full node low holdout,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,185542587.187200,8458.999413,185551046.186613,185551046.186613,0.000000,0.000000,1885102080.000000,579820584960.000000,1.000000,1.000000,0.000000,0.000000,21316.443139,21316.443139,771,
armageddon_one_node_low_holdout__uniform_fixed_2,armageddon_one_node_low_holdout,Full node low holdout,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,1932735.283200,123695058.124800,6750.828513,125634544.236513,126600911.878113,1352914698240.000000,773094113280.000000,1760317440.000000,386547056640.000000,1.476911,1.465638,-59916501.950100,193273528320.000000,17157.107581,130.021753,775,
armageddon_one_node_low_holdout__adaptive_mro_avg3,armageddon_one_node_low_holdout,Full node low holdout,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,2941884.825600,61847529.062400,11987.808711,64801401.696711,67517787.480589,2153691217920.000000,1460372766720.000000,1748561920.000000,193273528320.000000,2.863380,2.748180,-120749644.489902,386547056640.000000,5405.721460,24.746535,774,
armageddon_one_node_low_holdout__adaptive_mro_avg4,armageddon_one_node_low_holdout,Full node low holdout,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,5500972.485887,0.000000,1324.678976,5502297.164862,8991159.780101,2892811468800.000000,2139598356480.000000,1552261120.000000,0.000000,33.722469,20.637054,-180048749.021751,579820584960.000000,4479.526835,2.576196,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_one_node_low_holdout__adaptive_mro_avg6,armageddon_one_node_low_holdout,Full node low holdout,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,7544714.035200,0.000000,986.640738,7545700.675938,12916087.517538,4352429260800.000000,3174920355840.000000,1534279680.000000,0.000000,24.590300,14.365886,-178005345.510675,579820584960.000000,8808.854099,2.404674,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_one_node_low_holdout__adaptive_mro_avg8,armageddon_one_node_low_holdout,Full node low holdout,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,9658643.251200,0.000000,952.641422,9659595.892622,16872121.051022,5798205849600.000000,4180546682880.000000,1527490560.000000,0.000000,19.208986,10.997494,-175891450.293991,579820584960.000000,12090.701780,2.339022,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
